,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
100,1619,PROVENANCE,77927,86152,126484,2.083589e+06,1.59338567e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:22:57.995252094
101,1619,PROVENANCE,91556,100250,144157,2.094677e+06,1.84003057e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:22:57.995252094
102,,PROVENANCE,,,,,,1619,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:22:57.995252094
103,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:22:57.995252094
104,1679,PROVENANCE,77954,86152,125907,2.083589e+06,1.65121011e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:00.995281300
105,1679,PROVENANCE,91556,100271,143897,2.094677e+06,1.90623434e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:00.995281300
106,,PROVENANCE,,,,,,1679,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:00.995281300
107,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:00.995281300
108,1739,PROVENANCE,78159,86707,126484,2.083589e+06,1.71376606e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:03.995256607
109,1739,PROVENANCE,91712,100902,144293,2.094677e+06,1.97976202e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:03.995256607
110,,PROVENANCE,,,,,,1739,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:03.995256607
111,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:03.995256607
112,1799,PROVENANCE,78209,86992,125597,2.083589e+06,1.76863133e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:06.995266004
113,1799,PROVENANCE,91977,101108,143719,2.094677e+06,2.0436072e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:06.995266004
114,,PROVENANCE,,,,,,1799,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:06.995266004
115,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:06.995266004
116,1859,PROVENANCE,78373,87191,124957,2.083589e+06,1.82510816e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:09.995280149
117,1859,PROVENANCE,92078,101220,143274,2.094677e+06,2.10841739e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:09.995280149
118,,PROVENANCE,,,,,,1859,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:09.995280149
119,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:09.995280149
120,1919,PROVENANCE,78201,86922,124533,2.083589e+06,1.87653041e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:12.995289199
121,1919,PROVENANCE,91977,100958,142863,2.094677e+06,2.16914097e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:12.995289199
122,,PROVENANCE,,,,,,1919,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:12.995289199
123,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:12.995289199
124,1979,PROVENANCE,78191,86922,124439,2.083589e+06,1.93123065e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:15.995250833
125,1979,PROVENANCE,91878,100751,142339,2.094677e+06,2.23063152e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:15.995250833
126,,PROVENANCE,,,,,,1979,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:15.995250833
127,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:15.995250833
128,2039,PROVENANCE,78191,86888,124411,2.083589e+06,1.98588612e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:18.995284110
129,2039,PROVENANCE,91878,100744,142187,2.094677e+06,2.2937477e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:18.995284110
130,,PROVENANCE,,,,,,2039,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:18.995284110
131,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:18.995284110
132,2099,PROVENANCE,78181,86888,123467,2.083589e+06,2.04010333e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:21.995239602
