,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
58,8762,PROVENANCE,3.308888539e+09,8.302229626e+09,2.8482850275e+10,7.6108722079e+10,1.05790808842219e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:42:48.255507924
59,,PROVENANCE,,,,,,8767,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:42:48.255507924
60,8842,PROVENANCE,3.332988416e+09,8.384677925e+09,2.8406858249e+10,7.6108722079e+10,1.07073531548855e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:42:51.255271415
61,,PROVENANCE,,,,,,8843,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:42:51.255271415
62,8941,PROVENANCE,3.366691585e+09,8.545166362e+09,2.8313923798e+10,7.6108722079e+10,1.08871216408941e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:42:54.255276130
63,,PROVENANCE,,,,,,8941,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:42:54.255276130
64,9066,PROVENANCE,3.424465262e+09,8.734874854e+09,2.8309543141e+10,7.6108722079e+10,1.11462217920543e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:42:57.255283168
65,,PROVENANCE,,,,,,9071,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:42:57.255283168
66,9168,PROVENANCE,3.472582531e+09,8.896807248e+09,2.8394506121e+10,7.6108722079e+10,1.1380506227125e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:00.255363028
67,,PROVENANCE,,,,,,9168,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:00.255363028
68,9270,PROVENANCE,3.512879333e+09,9.088611876e+09,2.8568042472e+10,7.6108722079e+10,1.16285559383742e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:03.255387568
69,,PROVENANCE,,,,,,9270,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:03.255387568
70,9380,PROVENANCE,3.561561937e+09,9.273417985e+09,2.9063055814e+10,7.6108722079e+10,1.19220283569554e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:06.255338683
71,,PROVENANCE,,,,,,9382,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:06.255338683
72,9484,PROVENANCE,3.609008511e+09,9.451643504e+09,2.9550032802e+10,7.6108722079e+10,1.22217852273722e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:09.255293796
73,,PROVENANCE,,,,,,9485,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:09.255293796
74,9573,PROVENANCE,3.641645498e+09,9.573340355e+09,3.0005688208e+10,7.6108722079e+10,1.25013888773205e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:12.256689679
75,,PROVENANCE,,,,,,9576,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:12.256689679
76,9665,PROVENANCE,3.671690271e+09,9.688073097e+09,3.0543621158e+10,7.6108722079e+10,1.28105581787226e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:15.255303733
77,,PROVENANCE,,,,,,9665,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:15.255303733
78,9750,PROVENANCE,3.727714109e+09,9.868603202e+09,3.0979402721e+10,7.6108722079e+10,1.31138073761554e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:18.255616849
79,,PROVENANCE,,,,,,9750,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:18.255616849
80,9826,PROVENANCE,3.753216816e+09,9.971086109e+09,3.1607132118e+10,7.6108722079e+10,1.3417639370592e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:21.255232760
81,,PROVENANCE,,,,,,9827,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:21.255232760
82,9909,PROVENANCE,3.802234588e+09,1.0132472799e+10,3.2104347477e+10,7.6108722079e+10,1.37390818160773e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:24.255388490
83,,PROVENANCE,,,,,,9909,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:24.255388490
84,9993,PROVENANCE,3.82579315e+09,1.0283900613e+10,3.2927787221e+10,7.6108722079e+10,1.4099420103423e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:27.255245023
85,,PROVENANCE,,,,,,9993,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:27.255245023
86,10065,PROVENANCE,3.864303634e+09,1.0382469884e+10,3.3583348278e+10,7.6108722079e+10,1.44192924802397e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:30.256274333
87,,PROVENANCE,,,,,,10067,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:30.256274333
88,10140,PROVENANCE,3.904623885e+09,1.0542448229e+10,3.4128721136e+10,7.6108722079e+10,1.47596719682542e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:33.255723229
89,,PROVENANCE,,,,,,10140,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:33.255723229
90,10210,PROVENANCE,3.943116982e+09,1.0645548456e+10,3.4683042952e+10,7.6108722079e+10,1.50871855318863e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:36.255577464
91,,PROVENANCE,,,,,,10210,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:36.255577464
92,10285,PROVENANCE,3.969914258e+09,1.0789451739e+10,3.5273192034e+10,7.6108722079e+10,1.54376114329923e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:39.255517115
93,,PROVENANCE,,,,,,10285,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:39.255517115
94,10349,PROVENANCE,3.979088551e+09,1.0876834323e+10,3.5856226197e+10,7.6108722079e+10,1.57604789381718e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:42.255662145
95,,PROVENANCE,,,,,,10349,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:42.255662145
96,10409,PROVENANCE,4.013628587e+09,1.1000368028e+10,3.6449825103e+10,7.8886305229e+10,1.60791992998743e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:45.255429279
97,,PROVENANCE,,,,,,10409,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:45.255429279
98,10489,PROVENANCE,4.048195206e+09,1.1132773899e+10,3.7369341488e+10,8.1903578891e+10,1.65459407975139e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:48.255260972
99,,PROVENANCE,,,,,,10489,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:48.255260972
100,10568,PROVENANCE,4.075509669e+09,1.1264621607e+10,3.8158720175e+10,8.1944681393e+10,1.69882587568109e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:51.255186390
101,,PROVENANCE,,,,,,10568,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:51.255186390
102,10660,PROVENANCE,4.107154795e+09,1.1461424645e+10,3.9283989257e+10,8.5130884526e+10,1.75701579938002e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:54.255565423
103,,PROVENANCE,,,,,,10660,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:54.255565423
104,10737,PROVENANCE,4.140043307e+09,1.1602745626e+10,4.0096883803e+10,8.9319025183e+10,1.80604144217958e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:43:57.255238948
105,,PROVENANCE,,,,,,10737,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:43:57.255238948
106,10823,PROVENANCE,4.185214073e+09,1.1729768355e+10,4.117761308e+10,9.0065749457e+10,1.86222802278044e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:00.255397160
107,,PROVENANCE,,,,,,10823,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:00.255397160
108,10938,PROVENANCE,4.246735052e+09,1.1918258254e+10,4.2801648816e+10,9.5256347923e+10,1.93941772846716e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:03.255263132
109,,PROVENANCE,,,,,,10938,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:03.255263132
110,11046,PROVENANCE,4.303536225e+09,1.2129150108e+10,4.4347221966e+10,9.8632476469e+10,2.0122911533528e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:06.255925951
